"","SRR6145425","SRR6145429","SRR6145431","SRR6145433","SRR6145436","SRR6145443"
"ENSG00000225987.7",0,0,0,0,0,0
"ENSG00000237052.7",0,0,0,0,0,0
"ENSG00000238196.5",0,0,0,0,0,0
"ENSG00000234216.1",0,0,0,0,0,0
"ENSG00000266435.1",0,0,0,0,0,0
"ENSG00000236672.6",0,0,0,0,0,0
"ENSG00000235135.1",0,0,0,0,0,0
"ENSG00000226127.7",0,0,0,0,0,0
"ENSG00000227384.2",0,0,0,0,0,0
"ENSG00000264998.1",0,0,0,0,0,0
"ENSG00000230463.2",0,0,0,0,0,0
"ENSG00000237577.1",0,0,0,0,0,0
"ENSG00000226343.1",0,0,0,0,0,0
"ENSG00000233192.7",0,0,0,0,0,0
"ENSG00000230675.9",0,0,0,0,0,0
"ENSG00000243612.5",0,0,0,0,0,0
"ENSG00000225967.9",0,0,0,0,0,0
"ENSG00000230669.6",0,0,0,0,0,0
"ENSG00000233089.6",0,0,0,0,0,0
"ENSG00000227816.4",0,0,0,0,0,0
"ENSG00000242711.8",0,0,0,0,0,0
"ENSG00000234642.8",0,0,0,0,0,0
"ENSG00000237334.1",0,0,0,0,0,0
"ENSG00000242361.7",0,0,0,0,0,0
"ENSG00000242092.8",0,0,0,0,0,0
"ENSG00000231580.1",0,0,0,0,0,0
"ENSG00000235844.8",0,0,0,0,0,0
"ENSG00000236693.11",0,0,0,0,0,0
"ENSG00000234260.1",0,0,0,0,0,0
"ENSG00000227577.1",0,0,0,0,0,0
"ENSG00000226071.9",0,0,0,0,0,0
"ENSG00000231895.1",0,0,0,0,0,0
"ENSG00000217281.4",0,0,0,0,0,0
"ENSG00000281185.1",0,0,0,0,0,0
"ENSG00000257770.5",0,0,0,0,0,0
"ENSG00000248496.3",0,0,0,0,0,0
"ENSG00000275478.1",0,0,0,0,0,0
"ENSG00000249032.1",0,0,0,0,0,0
"ENSG00000249814.1",0,0,0,0,0,0
"ENSG00000230574.1",0,0,0,0,0,0
"ENSG00000237006.1",0,0,0,0,0,0
"ENSG00000226714.1",0,0,0,0,0,0
"ENSG00000227966.1",0,0,0,0,0,0
"ENSG00000235184.1",0,0,0,0,0,0
"ENSG00000230004.1",0,0,0,0,0,0
"ENSG00000263937.1",0,0,0,0,0,0
"ENSG00000237071.7",0,0,0,0,0,0
"ENSG00000237634.1",0,0,0,0,0,0
"ENSG00000233505.1",0,0,0,0,0,0
"ENSG00000263419.2",0,0,0,0,0,0
"ENSG00000227380.2",0,0,0,0,0,0
"ENSG00000239940.1",0,0,0,0,0,0
"ENSG00000223687.4",0,0,0,0,0,0
"ENSG00000227626.1",0,0,0,0,0,0
"ENSG00000234101.1",0,0,0,0,0,0
"ENSG00000225838.1",0,0,0,0,0,0
"ENSG00000274063.1",0,0,0,0,0,0
"ENSG00000226657.1",0,0,0,0,0,0
"ENSG00000233180.3",0,0,0,0,0,0
"ENSG00000234804.1",0,0,0,0,0,0
"ENSG00000232178.1",0,0,0,0,0,0
"ENSG00000232272.1",0,0,0,0,0,0
"ENSG00000224925.2",0,0,0,0,0,0
"ENSG00000231676.4",0,0,0,0,0,0
"ENSG00000226610.1",0,0,0,0,0,0
"ENSG00000234092.1",0,0,0,0,0,0
"ENSG00000225150.1",0,0,0,0,0,0
"ENSG00000237366.1",0,0,0,0,0,0
"ENSG00000233950.1",0,0,0,0,0,0
"ENSG00000226844.1",0,0,0,0,0,0
"ENSG00000231279.2",0,0,0,0,0,0
"ENSG00000225291.4",0,0,0,0,0,0
"ENSG00000229045.1",0,0,0,0,0,0
"ENSG00000235966.4",0,0,0,0,0,0
"ENSG00000249030.1",0,0,0,0,0,0
"ENSG00000233046.8",0,0,0,0,0,0
"ENSG00000224234.5",0,0,0,0,0,0
"ENSG00000251394.6",0,0,0,0,0,0
"ENSG00000230780.8",0,0,0,0,0,0
"ENSG00000235132.8",0,0,0,0,0,0
"ENSG00000227228.1",0,0,0,0,0,0
"ENSG00000224444.1",0,0,0,0,0,0
"ENSG00000233141.3",0,0,0,0,0,0
"ENSG00000232302.3",0,0,0,0,0,0
"ENSG00000232652.1",0,0,0,0,0,0
"ENSG00000230674.5",0,0,0,0,0,0
"ENSG00000237698.1",0,0,0,0,0,0
"ENSG00000229467.2",0,0,0,0,0,0
"ENSG00000228913.2",0,0,0,0,0,0
"ENSG00000226796.2",0,0,0,0,0,0
"ENSG00000225248.2",0,0,0,0,0,0
"ENSG00000266672.1",0,0,0,0,0,0
"ENSG00000230181.1",0,0,0,0,0,0
"ENSG00000229185.4",0,0,0,0,0,0
"ENSG00000232632.8",0,0,0,0,0,0
"ENSG00000223771.3",0,0,0,0,0,0
"ENSG00000237834.9",0,0,0,0,0,0
"ENSG00000226858.7",0,0,0,0,0,0
"ENSG00000235507.1",0,0,0,0,0,0
"ENSG00000233935.1",0,0,0,0,0,0
"ENSG00000241880.1",0,0,0,0,0,0
"ENSG00000137403.19",0,0,0,0,0,0
"ENSG00000224253.1",0,0,0,0,0,0
"ENSG00000251581.1",0,0,0,0,0,0
"ENSG00000206446.9",0,0,0,0,0,0
"ENSG00000263876.1",0,0,0,0,0,0
"ENSG00000228912.2",0,0,0,0,0,0
"ENSG00000225346.1",0,0,0,0,0,0
"ENSG00000230238.7",0,0,0,0,0,0
"ENSG00000260055.1",0,0,0,0,0,0
"ENSG00000233462.4",0,0,0,0,0,0
"ENSG00000229995.1",0,0,0,0,0,0
"ENSG00000234681.1",0,0,0,0,0,0
"ENSG00000230413.9",0,0,0,0,0,0
"ENSG00000224118.1",0,0,0,0,0,0
"ENSG00000226152.1",0,0,0,0,0,0
"ENSG00000226893.3",0,0,0,0,0,0
"ENSG00000227027.1",0,0,0,0,0,0
"ENSG00000233241.1",0,0,0,0,0,0
"ENSG00000231998.1",0,0,0,0,0,0
"ENSG00000227956.2",0,0,0,0,0,0
"ENSG00000232331.2",0,0,0,0,0,0
"ENSG00000223352.1",0,0,0,0,0,0
"ENSG00000223708.1",0,0,0,0,0,0
"ENSG00000232011.1",0,0,0,0,0,0
"ENSG00000237395.1",0,0,0,0,0,0
"ENSG00000236579.2",0,0,0,0,0,0
"ENSG00000234242.1",0,0,0,0,0,0
"ENSG00000235340.1",0,0,0,0,0,0
"ENSG00000224006.1",0,0,0,0,0,0
"ENSG00000228220.7",0,0,0,0,0,0
"ENSG00000224320.9",0,0,0,0,0,0
"ENSG00000232141.1",0,0,0,0,0,0
"ENSG00000276049.1",0,0,0,0,0,0
"ENSG00000274071.1",0,0,0,0,0,0
"ENSG00000276034.1",0,0,0,0,0,0
"ENSG00000229653.6",0,0,0,0,0,0
"ENSG00000224859.6",0,0,0,0,0,0
"ENSG00000234058.6",0,0,0,0,0,0
"ENSG00000227171.8",0,0,0,0,0,0
"ENSG00000226402.8",0,0,0,0,0,0
"ENSG00000238027.1",0,0,0,0,0,0
"ENSG00000265495.1",0,0,0,0,0,0
"ENSG00000228001.8",0,0,0,0,0,0
"ENSG00000237192.8",0,0,0,0,0,0
"ENSG00000227147.9",0,0,0,0,0,0
"ENSG00000228199.1",0,0,0,0,0,0
"ENSG00000230230.7",0,0,0,0,0,0
"ENSG00000223840.1",0,0,0,0,0,0
"ENSG00000243492.6",0,0,0,0,0,0
"ENSG00000241701.5",0,0,0,0,0,0
"ENSG00000228894.6",0,0,0,0,0,0
"ENSG00000224994.10",0,0,0,0,0,0
"ENSG00000241863.6",0,0,0,0,0,0
"ENSG00000227334.1",0,0,0,0,0,0
"ENSG00000234417.1",0,0,0,0,0,0
"ENSG00000232095.1",0,0,0,0,0,0
"ENSG00000233466.1",0,0,0,0,0,0
"ENSG00000223933.1",0,0,0,0,0,0
"ENSG00000223412.3",0,0,0,0,0,0
"ENSG00000227703.4",0,0,0,0,0,0
"ENSG00000233904.6",0,0,0,0,0,0
"ENSG00000223827.1",0,0,0,0,0,0
"ENSG00000235986.9",0,0,0,0,0,0
"ENSG00000228186.10",0,0,0,0,0,0
"ENSG00000236149.9",0,0,0,0,0,0
"ENSG00000230995.7",0,0,0,0,0,0
"ENSG00000227420.8",0,0,0,0,0,0
"ENSG00000225453.4",0,0,0,0,0,0
"ENSG00000223752.8",0,0,0,0,0,0
"ENSG00000233641.9",0,0,0,0,0,0
"ENSG00000233561.6",0,0,0,0,0,0
"ENSG00000231247.8",0,0,0,0,0,0
"ENSG00000235773.8",0,0,0,0,0,0
"ENSG00000235342.1",0,0,0,0,0,0
"ENSG00000236766.1",0,0,0,0,0,0
"ENSG00000224587.9",0,0,0,0,0,0
"ENSG00000227739.10",0,0,0,0,0,0
"ENSG00000266119.1",0,0,0,0,0,0
"ENSG00000232280.9",0,0,0,0,0,0
"ENSG00000237155.3",0,0,0,0,0,0
"ENSG00000263728.2",0,0,0,0,0,0
"ENSG00000224641.5",0,0,0,0,0,0
"ENSG00000236006.5",0,0,0,0,0,0
"ENSG00000231522.1",0,0,0,0,0,0
"ENSG00000265903.1",0,0,0,0,0,0
"ENSG00000224360.1",0,0,0,0,0,0
"ENSG00000137332.19",0,0,0,0,0,0
"ENSG00000236895.10",0,0,0,0,0,0
"ENSG00000236178.9",0,0,0,0,0,0
"ENSG00000224246.2",0,0,0,0,0,0
"ENSG00000266178.1",0,0,0,0,0,0
"ENSG00000232308.4",0,0,0,0,0,0
"ENSG00000223454.1",0,0,0,0,0,0
"ENSG00000234137.5",0,0,0,0,0,0
"ENSG00000234063.5",0,0,0,0,0,0
"ENSG00000238234.5",0,0,0,0,0,0
"ENSG00000265921.1",0,0,0,0,0,0
"ENSG00000229432.2",0,0,0,0,0,0
"ENSG00000137197.6",0,0,0,0,0,0
"ENSG00000224544.2",0,0,0,0,0,0
"ENSG00000235487.8",0,0,0,0,0,0
"ENSG00000226993.1",0,0,0,0,0,0
"ENSG00000234114.8",0,0,0,0,0,0
"ENSG00000224379.6",0,0,0,0,0,0
"ENSG00000233911.9",0,0,0,0,0,0
"ENSG00000223364.1",0,0,0,0,0,0
"ENSG00000228583.1",0,0,0,0,0,0
"ENSG00000232758.1",0,0,0,0,0,0
"ENSG00000233841.11",0,0,0,0,0,0
"ENSG00000233486.3",0,0,0,0,0,0
"ENSG00000228461.1",0,0,0,0,0,0
"ENSG00000231433.1",0,0,0,0,0,0
"ENSG00000225939.1",0,0,0,0,0,0
"ENSG00000223532.10",0,0,0,0,0,0
"ENSG00000230016.1",0,0,0,0,0,0
"ENSG00000264185.1",0,0,0,0,0,0
"ENSG00000223971.1",0,0,0,0,0,0
"ENSG00000232659.1",0,0,0,0,0,0
"ENSG00000225145.1",0,0,0,0,0,0
"ENSG00000264692.1",0,0,0,0,0,0
"ENSG00000233051.9",0,0,0,0,0,0
"ENSG00000234858.1",0,0,0,0,0,0
"ENSG00000237105.2",0,0,0,0,0,0
"ENSG00000264846.1",0,0,0,0,0,0
"ENSG00000234218.9",0,0,0,0,0,0
"ENSG00000236415.4",0,0,0,0,0,0
"ENSG00000230211.1",0,0,0,0,0,0
"ENSG00000226923.2",0,0,0,0,0,0
"ENSG00000263359.1",0,0,0,0,0,0
"ENSG00000265607.1",0,0,0,0,0,0
"ENSG00000232256.1",0,0,0,0,0,0
"ENSG00000225073.10",0,0,0,0,0,0
"ENSG00000227587.2",0,0,0,0,0,0
"ENSG00000234530.8",0,0,0,0,0,0
"ENSG00000238130.8",0,0,0,0,0,0
"ENSG00000204490.3",0,0,0,0,0,0
"ENSG00000204487.8",0,0,0,0,0,0
"ENSG00000226182.8",0,0,0,0,0,0
"ENSG00000237808.6",0,0,0,0,0,0
"ENSG00000227650.1",0,0,0,0,0,0
"ENSG00000237727.7",0,0,0,0,0,0
"ENSG00000263879.1",0,0,0,0,0,0
"ENSG00000225164.9",0,0,0,0,0,0
"ENSG00000229524.10",0,0,0,0,0,0
"ENSG00000224290.7",0,0,0,0,0,0
"ENSG00000235516.1",0,0,0,0,0,0
"ENSG00000235360.2",0,0,0,0,0,0
"ENSG00000266759.1",0,0,0,0,0,0
"ENSG00000236011.6",0,0,0,0,0,0
"ENSG00000241713.7",0,0,0,0,0,0
